person_id,first_name,last_name,display_last_comma_first
201980,Danny,Green,"Green, Danny"
202726,Andrew,Goudelock,"Goudelock, Andrew"
202328,Greg,Monroe,"Monroe, Greg"
201188,Marc,Gasol,"Gasol, Marc"
202380,Hamady,Ndiaye,"Ndiaye, Hamady"
202220,Zabian,Dowdell,"Dowdell, Zabian"
203101,Miles,Plumlee,"Plumlee, Miles"
202350,Daniel,Orton,"Orton, Daniel"
1715,Jason,Williams,"Williams, Jason"
201229,Anthony,Tolliver,"Tolliver, Anthony"
201582,Alexis,Ajinca,"Ajinca, Alexis"
203103,Perry,Jones,"Jones, Perry"
101154,Andray,Blatche,"Blatche, Andray"
201627,Anthony,Morrow,"Morrow, Anthony"
202683,Enes,Kanter,"Kanter, Enes"
203120,Justin,Hamilton,"Hamilton, Justin"
201632,Hamed,Haddadi,"Haddadi, Hamed"
201603,Sonny,Weems,"Weems, Sonny"
202325,Wesley,Johnson,"Johnson, Wesley"
203089,John,Henson,"Henson, John"
202874,Chris,Wright,"Wright, Chris"
202324,Derrick,Favors,"Favors, Derrick"
201163,Wilson,Chandler,"Chandler, Wilson"
2768,Chris,Duhon,"Duhon, Chris"
101145,Monta,Ellis,"Ellis, Monta"
202361,Landry,Fields,"Fields, Landry"
203543,Vitor,Faverani,"Faverani, Vitor"
202933,Julyan,Stone,"Stone, Julyan"
201158,Marco,Belinelli,"Belinelli, Marco"
2207,Joe,Johnson,"Johnson, Joe"
202712,Justin,Harper,"Harper, Justin"
203128,Furkan,Aldemir,"Aldemir, Furkan"
1630,Mikki,Moore,"Moore, Mikki"
1885,Lamar,Odom,"Odom, Lamar"
203584,Troy,Daniels,"Daniels, Troy"
1716,Larry,Hughes,"Hughes, Larry"
1853,Anthony,Carter,"Carter, Anthony"
201972,Jon,Brockman,"Brockman, Jon"
201963,Christian,Eyenga,"Eyenga, Christian"
201155,Rodney,Stuckey,"Stuckey, Rodney"
202363,Jarvis,Varnado,"Varnado, Jarvis"
201949,James,Johnson,"Johnson, James"
2215,Jason,Collins,"Collins, Jason"
203088,Kendall,Marshall,"Marshall, Kendall"
202391,Jeremy,Lin,"Lin, Jeremy"
2203,Shane,Battier,"Battier, Shane"
200768,Kyle,Lowry,"Lowry, Kyle"
202717,Trey,Thompkins,"Thompkins, Trey"
203950,Jarnell,Stokes,"Stokes, Jarnell"
201953,Eric,Maynor,"Maynor, Eric"
201939,Stephen,Curry,"Curry, Stephen"
2668,Josh,Davis,"Davis, Josh"
101121,Joey,Graham,"Graham, Joey"
201959,Taj,Gibson,"Gibson, Taj"
203133,Robbie,Hummel,"Hummel, Robbie"
203315,Toure,Murry,"Murry, Toure"
201858,Cartier,Martin,"Martin, Cartier"
2564,Boris,Diaw,"Diaw, Boris"
202358,Terrico,White,"White, Terrico"
203083,Andre,Drummond,"Drummond, Andre"
1889,Andre,Miller,"Miller, Andre"
