players_espn_id,player_id,player_name,college_name,height,weight,player_url,pos,jersey
406,2282205,Malcolm Delaney,Virginia Tech,6-3,190,http://www.espn.com/nba/player/_/id/2282205/malcolm-delaney,PG,5
407,1708,Mike Dunleavy,Duke,6-9,230,http://www.espn.com/nba/player/_/id/1708/mike-dunleavy,SG,34
408,2528210,Tim Hardaway Jr.,Michigan,6-6,205,http://www.espn.com/nba/player/_/id/2528210/tim-hardaway-jr.,SG,10
409,2384,Dwight Howard, ,6-11,265,http://www.espn.com/nba/player/_/id/2384/dwight-howard,C,8
410,2433,Kris Humphries,Minnesota,6-9,235,http://www.espn.com/nba/player/_/id/2433/kris-humphries,PF,43
411,3015,Paul Millsap,Louisiana Tech,6-8,246,http://www.espn.com/nba/player/_/id/3015/paul-millsap,PF,4
412,2490089,Mike Muscala,Bucknell,6-11,240,http://www.espn.com/nba/player/_/id/2490089/mike-muscala,PF,31
413,4300,Gary Neal,Towson,6-4,210,http://www.espn.com/nba/player/_/id/4300/gary-neal,PG,14
414,2488721,Lamar Patterson,Pittsburgh,6-5,225,http://www.espn.com/nba/player/_/id/2488721/lamar-patterson,SG,13
415,2990962,Taurean Prince,Baylor,6-8,220,http://www.espn.com/nba/player/_/id/2990962/taurean-prince,SF,12
416,3032979,Dennis Schroder, ,6-1,172,http://www.espn.com/nba/player/_/id/3032979/dennis-schroder,PG,17
417,6622,Mike Scott,Virginia,6-8,237,http://www.espn.com/nba/player/_/id/6622/mike-scott,PF,32
418,3028,Thabo Sefolosha, ,6-7,220,http://www.espn.com/nba/player/_/id/3028/thabo-sefolosha,SF,25
419,3233,Tiago Splitter, ,6-11,245,http://www.espn.com/nba/player/_/id/3233/tiago-splitter,C,11
420,3416,Nicolas Batum, ,6-8,200,http://www.espn.com/nba/player/_/id/3416/nicolas-batum,SG,5
421,3190,Marco Belinelli, ,6-5,210,http://www.espn.com/nba/player/_/id/3190/marco-belinelli,SG,21
422,2595231,Treveon Graham,Virginia Commonwealth,6-6,226,http://www.espn.com/nba/player/_/id/2595231/treveon-graham,SG,12
423,2579294,Frank Kaminsky III,Wisconsin,7-0,240,http://www.espn.com/nba/player/_/id/2579294/frank-kaminsky-iii,C,44
424,6601,Michael Kidd-Gilchrist,Kentucky,6-7,232,http://www.espn.com/nba/player/_/id/6601/michael-kidd-gilchrist,SF,14
425,6603,Jeremy Lamb,Connecticut,6-5,185,http://www.espn.com/nba/player/_/id/6603/jeremy-lamb,SG,3
426,2528447,Ray McCallum,Detroit,6-3,190,http://www.espn.com/nba/player/_/id/2528447/ray-mccallum,PG,30
427,6616,Miles Plumlee,Duke,6-11,249,http://www.espn.com/nba/player/_/id/6616/miles-plumlee,C,18
428,6641,Brian Roberts,Dayton,6-1,173,http://www.espn.com/nba/player/_/id/6641/brian-roberts,PG,22
429,3231,Ramon Sessions,Nevada,6-3,190,http://www.espn.com/nba/player/_/id/3231/ramon-sessions,PG,7
430,2982337,Mike Tobey,Virginia,7-0,260,http://www.espn.com/nba/player/_/id/2982337/mike-tobey,C,10
431,6479,Kemba Walker,Connecticut,6-1,184,http://www.espn.com/nba/player/_/id/6479/kemba-walker,PG,15
432,2797,Marvin Williams,North Carolina,6-9,237,http://www.espn.com/nba/player/_/id/2797/marvin-williams,PF,2
433,3058254,Christian Wood,UNLV,6-11,220,http://www.espn.com/nba/player/_/id/3058254/christian-wood,PF,35
434,2579258,Cody Zeller,Indiana,7-0,240,http://www.espn.com/nba/player/_/id/2579258/cody-zeller,C,40
435,4250,Luke Babbitt,Nevada,6-9,225,http://www.espn.com/nba/player/_/id/4250/luke-babbitt,SF,5
436,1977,Chris Bosh,Georgia Tech,6-11,235,http://www.espn.com/nba/player/_/id/1977/chris-bosh,PF,1
437,3423,Goran Dragic, ,6-3,190,http://www.espn.com/nba/player/_/id/3423/goran-dragic,PG,7
438,3981,Wayne Ellington,North Carolina,6-4,200,http://www.espn.com/nba/player/_/id/3981/wayne-ellington,SG,2
439,2184,Udonis Haslem,Florida,6-8,235,http://www.espn.com/nba/player/_/id/2184/udonis-haslem,PF,40
440,3999,James Johnson,Wake Forest,6-9,250,http://www.espn.com/nba/player/_/id/3999/james-johnson,PF,16
441,2530276,Tyler Johnson,Fresno State,6-4,186,http://www.espn.com/nba/player/_/id/2530276/tyler-johnson,SG,8
442,2488826,Rodney McGruder,Kansas State,6-4,205,http://www.espn.com/nba/player/_/id/2488826/rodney-mcgruder,SG,17
443,3220,Josh McRoberts,Duke,6-10,240,http://www.espn.com/nba/player/_/id/3220/josh-mcroberts,PF,4
444,2326015,Willie Reed,Saint Louis,6-10,220,http://www.espn.com/nba/player/_/id/2326015/willie-reed,PF,35
445,2581190,Josh Richardson,Tennessee,6-6,200,http://www.espn.com/nba/player/_/id/2581190/josh-richardson,SG,0
446,6628,Dion Waiters,Syracuse,6-4,220,http://www.espn.com/nba/player/_/id/6628/dion-waiters,SG,11
